logdensity,dataset,model
-1.45885558896024,in-sample,functional
-1.49378624349089,in-sample,functional
-1.46213994957033,in-sample,functional
-1.47471981054945,in-sample,functional
-1.44797249561967,in-sample,functional
-1.44205396779072,in-sample,functional
-1.46222221713989,in-sample,functional
-1.46573645180754,in-sample,functional
-1.51331811884739,in-sample,functional
-1.45606055770035,in-sample,functional
-1.43304889762122,in-sample,functional
-1.42552001221503,in-sample,functional
-1.46552180419223,in-sample,functional
-1.46365666561054,in-sample,functional
-1.49121166835117,in-sample,functional
-1.47236386835896,in-sample,functional
-1.5096131553612,in-sample,functional
-1.48121345005935,in-sample,functional
-1.46466289646176,in-sample,functional
-1.48611897947645,in-sample,functional
-1.44273795883716,in-sample,functional
-1.45207846961882,in-sample,functional
-1.4786317869436,in-sample,functional
-1.46956815800618,in-sample,functional
-1.47688732515325,in-sample,functional
-1.46652451185175,in-sample,functional
-1.42806224235818,in-sample,functional
-1.4198187945385,in-sample,functional
-1.48132659699848,in-sample,functional
-1.48029812278048,in-sample,functional
-1.48854063533086,in-sample,functional
-1.47548912736596,in-sample,functional
-1.49576401963808,in-sample,functional
-1.46015586688728,in-sample,functional
-1.47977185104153,in-sample,functional
-1.47957144409168,in-sample,functional
-1.48403334723357,in-sample,functional
-1.48443327985975,in-sample,functional
-1.45849086119794,in-sample,functional
-1.45034499313155,in-sample,functional
-1.49093323498466,in-sample,functional
-1.4634648414664,in-sample,functional
-1.47843491357894,in-sample,functional
-1.46774349147393,in-sample,functional
-1.49152295992689,in-sample,functional
-1.54489988614937,in-sample,functional
-1.42313283148756,in-sample,functional
-1.42160995169865,in-sample,functional
-1.4643285694705,in-sample,functional
-1.41896648760442,in-sample,functional
-1.45378215556038,in-sample,functional
-1.46925095853608,in-sample,functional
-1.47862174284252,in-sample,functional
-1.49021109454062,in-sample,functional
-1.46251769181619,in-sample,functional
-1.50078574491244,in-sample,functional
-1.46803464223806,in-sample,functional
-1.45139215021358,in-sample,functional
-1.45657708260926,in-sample,functional
-1.47360655003234,in-sample,functional
-1.47756122040491,in-sample,functional
-1.51096423082602,in-sample,functional
-1.46103706230373,in-sample,functional
-1.44714529538345,in-sample,functional
-1.43229611763481,in-sample,functional
-1.4728297312526,in-sample,functional
-1.47524508543966,in-sample,functional
-1.50397479396336,in-sample,functional
-1.49254860600193,in-sample,functional
-1.47126345376342,in-sample,functional
-1.47847280372806,in-sample,functional
-1.45674081797978,in-sample,functional
-1.49082665031899,in-sample,functional
-1.48028433145096,in-sample,functional
-1.4479995412207,in-sample,functional
-1.46649964751051,in-sample,functional
-1.51905167949946,in-sample,functional
-1.50808254774744,in-sample,functional
