logdensity,dataset,model
-1.58096879532297,in-sample,functional
-1.56894576014945,in-sample,functional
-1.6314457330281,in-sample,functional
-1.59915040739072,in-sample,functional
-1.57673759644596,in-sample,functional
-1.55359364688399,in-sample,functional
-1.57663769549196,in-sample,functional
-1.6151232012054,in-sample,functional
-1.62518853899263,in-sample,functional
-1.5490365733465,in-sample,functional
-1.55943298042511,in-sample,functional
-1.55209043825046,in-sample,functional
-1.62545883963373,in-sample,functional
-1.59324383658412,in-sample,functional
-1.5986677130566,in-sample,functional
-1.60676730281137,in-sample,functional
-1.56359979768061,in-sample,functional
-1.58296154564905,in-sample,functional
-1.61242913324821,in-sample,functional
-1.61006704374546,in-sample,functional
-1.59703654709153,in-sample,functional
-1.57589585374728,in-sample,functional
-1.60602181180195,in-sample,functional
-1.57974794185175,in-sample,functional
-1.60424031505342,in-sample,functional
-1.58705897687146,in-sample,functional
-1.57726047686197,in-sample,functional
-1.61448376166682,in-sample,functional
-1.57588151926661,in-sample,functional
-1.61049709766406,in-sample,functional
-1.58899727481508,in-sample,functional
-1.61111652022387,in-sample,functional
-1.58232858147326,in-sample,functional
-1.58044676133588,in-sample,functional
-1.60671383918106,in-sample,functional
-1.59661766985314,in-sample,functional
-1.58240565540303,in-sample,functional
-1.58278786529532,in-sample,functional
-1.61504650651406,in-sample,functional
-1.64782832006242,in-sample,functional
-1.58509890523247,in-sample,functional
-1.64690124342705,in-sample,functional
-1.58674248462644,in-sample,functional
-1.59327962800354,in-sample,functional
-1.58220850511319,in-sample,functional
-1.60437648432696,in-sample,functional
-1.61940029100544,in-sample,functional
-1.61841661860876,in-sample,functional
-1.59657855543688,in-sample,functional
-1.59629878746491,in-sample,functional
-1.58993983664343,in-sample,functional
-1.58012693054521,in-sample,functional
-1.59178770518921,in-sample,functional
-1.61897372116531,in-sample,functional
-1.59334104621362,in-sample,functional
-1.59476696879184,in-sample,functional
-1.62938852095507,in-sample,functional
-1.6151503519851,in-sample,functional
-1.61969660736087,in-sample,functional
-1.55306061856222,in-sample,functional
-1.56583680607055,in-sample,functional
-1.5592513082697,in-sample,functional
-1.60142491769322,in-sample,functional
-1.61747940108741,in-sample,functional
-1.60994780318956,in-sample,functional
-1.59403833161816,in-sample,functional
-1.58627123420081,in-sample,functional
-1.61467168970867,in-sample,functional
-1.6006551802955,in-sample,functional
-1.61615560103791,in-sample,functional
-1.57260783711528,in-sample,functional
-1.59343170199147,in-sample,functional
-1.57362912896916,in-sample,functional
-1.57336988073653,in-sample,functional
-1.59279279115643,in-sample,functional
-1.577379515835,in-sample,functional
-1.59866434691994,in-sample,functional
-1.59210005962327,in-sample,functional
-1.59759003192858,in-sample,functional
-1.56949284959494,in-sample,functional
-1.56975532477955,in-sample,functional
-1.57517104722308,in-sample,functional
-1.57113919070947,in-sample,functional
-1.55055337770386,in-sample,functional
-1.58413408638553,in-sample,functional
-1.58228386202279,in-sample,functional
-1.62663636407421,in-sample,functional
-1.56424573884958,in-sample,functional
-1.59078815079298,in-sample,functional
-1.56615600702156,in-sample,functional
-1.5694491941068,in-sample,functional
-1.58981937144969,in-sample,functional
-1.62511182572609,in-sample,functional
-1.59956242313409,in-sample,functional
-1.62841675806704,in-sample,functional
-1.57746452131669,in-sample,functional
-1.60828552690089,in-sample,functional
-1.57738995283095,in-sample,functional
-1.58592123261457,in-sample,functional
-1.57997480383949,in-sample,functional
-1.59706719409545,in-sample,functional
-1.58506430440778,in-sample,functional
-1.57685522097897,in-sample,functional
-1.58489612994216,in-sample,functional
-1.62545781752556,in-sample,functional
-1.5951371585379,in-sample,functional
-1.55381856492447,in-sample,functional
-1.54983433691779,in-sample,functional
-1.60882365875365,in-sample,functional
-1.55466774098453,in-sample,functional
-1.56918309676724,in-sample,functional
-1.64999530477997,in-sample,functional
-1.58651845271761,in-sample,functional
-1.57440301527642,in-sample,functional
-1.55482210676745,in-sample,functional
-1.57744394826908,in-sample,functional
-1.59506443752962,in-sample,functional
-1.58262153553722,in-sample,functional
-1.57719214502879,in-sample,functional
-1.59244464975853,in-sample,functional
-1.59283541306791,in-sample,functional
-1.55661436863041,in-sample,functional
-1.57391067789943,in-sample,functional
-1.55995120380063,in-sample,functional
-1.57980175516727,in-sample,functional
-1.57435009627616,in-sample,functional
-1.56268020193547,in-sample,functional
-1.55917384202957,in-sample,functional
-1.53384370552059,in-sample,functional
-1.59142704823423,in-sample,functional
-1.58825694882725,in-sample,functional
-1.56211356344449,in-sample,functional
-1.56881181602318,in-sample,functional
-1.59537137755888,in-sample,functional
-1.56427608930899,in-sample,functional
-1.56629660102396,in-sample,functional
-1.57059497602766,in-sample,functional
-1.57344839703311,in-sample,functional
-1.58235317993833,in-sample,functional
-1.56764802843932,in-sample,functional
-1.59113765400078,in-sample,functional
-1.57669651254719,in-sample,functional
-1.54959515421263,in-sample,functional
-1.53941914010963,in-sample,functional
-1.57390848355807,in-sample,functional
-1.60604888474823,in-sample,functional
-1.58950458344489,in-sample,functional
-1.57606676917436,in-sample,functional
-1.59458855415507,in-sample,functional
-1.6168494965662,in-sample,functional
-1.6106157916236,in-sample,functional
-1.58341108677496,in-sample,functional
-1.58974693038631,in-sample,functional
-1.60277746298116,in-sample,functional
-1.58420625591413,in-sample,functional
-1.60643837621837,in-sample,functional
-1.62615998971386,in-sample,functional
-1.62259157332856,in-sample,functional
-1.6064724242366,in-sample,functional
-1.60451536183755,in-sample,functional
-1.60280171573497,in-sample,functional
-1.61057232440894,in-sample,functional
-1.62621112373781,in-sample,functional
-1.56847102571325,in-sample,functional
-1.57367702467862,in-sample,functional
-1.58891105167575,in-sample,functional
-1.57948773091384,in-sample,functional
-1.5908704074813,in-sample,functional
-1.55937080404393,in-sample,functional
-1.59322182028702,in-sample,functional
-1.56226246223114,in-sample,functional
-1.64224107254861,in-sample,functional
-1.59613185166083,in-sample,functional
-1.64738930318317,in-sample,functional
-1.57039685075964,in-sample,functional
-1.59279031289868,in-sample,functional
-1.59112303305982,in-sample,functional
-1.58454548950171,in-sample,functional
-1.60882564890522,in-sample,functional
-1.5981338158258,in-sample,functional
-1.60540405631431,in-sample,functional
-1.60984819807571,in-sample,functional
-1.61264629246479,in-sample,functional
-1.57882087431407,in-sample,functional
-1.56748547093028,in-sample,functional
-1.60293917636624,in-sample,functional
-1.62588005534667,in-sample,functional
-1.64169597200933,in-sample,functional
-1.55851681751099,in-sample,functional
-1.55492543075156,in-sample,functional
-1.56201740053503,in-sample,functional
-1.59594097012564,in-sample,functional
-1.57593186874066,in-sample,functional
-1.57142890814283,in-sample,functional
-1.62319387585642,in-sample,functional
-1.57011519603093,in-sample,functional
-1.54485276737251,in-sample,functional
-1.5817573323557,in-sample,functional
-1.5636296402154,in-sample,functional
-1.56168078654193,in-sample,functional
-1.57885495713899,in-sample,functional
-1.60372973191687,in-sample,functional
-1.62699890115693,in-sample,functional
-1.57103042938221,in-sample,functional
-1.60129676919115,in-sample,functional
-1.58958049340915,in-sample,functional
-1.5419866463256,in-sample,functional
-1.5707396838246,in-sample,functional
-1.56536571741707,in-sample,functional
-1.52888919844006,in-sample,functional
-1.59617378396205,in-sample,functional
-1.60068980710772,in-sample,functional
-1.61175787411473,in-sample,functional
-1.60321164667194,in-sample,functional
-1.58912350812282,in-sample,functional
-1.62603856859529,in-sample,functional
-1.62399010128066,in-sample,functional
-1.63295173299659,in-sample,functional
-1.58940384624892,in-sample,functional
-1.56514718405604,in-sample,functional
-1.60089541031513,in-sample,functional
-1.6388066850256,in-sample,functional
-1.57809550588044,in-sample,functional
-1.60161839486856,in-sample,functional
-1.60852382492243,in-sample,functional
-1.60977538023237,in-sample,functional
-1.57688156327933,in-sample,functional
-1.58669179775146,in-sample,functional
-1.56842140151785,in-sample,functional
-1.5926740579099,in-sample,functional
-1.60434821325759,in-sample,functional
-1.56760695584464,in-sample,functional
-1.5869318121354,in-sample,functional
-1.61048118069281,in-sample,functional
-1.58867160292276,in-sample,functional
-1.60531702703715,in-sample,functional
-1.58079628300936,in-sample,functional
-1.58927830781735,in-sample,functional
-1.60354940173274,in-sample,functional
-1.58508516134595,in-sample,functional
-1.62983160643712,in-sample,functional
-1.57605913494631,in-sample,functional
-1.57773136606013,in-sample,functional
-1.55709137250472,in-sample,functional
-1.57025429829377,in-sample,functional
-1.62093509505609,in-sample,functional
-1.59444891582144,in-sample,functional
-1.56832393475552,in-sample,functional
-1.59653331064936,in-sample,functional
-1.60042568044501,in-sample,functional
-1.57785949214616,in-sample,functional
-1.61041693322009,in-sample,functional
-1.59075630468331,in-sample,functional
-1.58461256963386,in-sample,functional
-1.58137995051597,in-sample,functional
-1.60264922853449,in-sample,functional
-1.58269207804296,in-sample,functional
-1.57711740648036,in-sample,functional
-1.5780387228315,in-sample,functional
-1.61546838003458,in-sample,functional
-1.61080303218303,in-sample,functional
-1.52961451566075,in-sample,functional
-1.56600700008379,in-sample,functional
-1.5795953865004,in-sample,functional
-1.60409420894918,in-sample,functional
-1.61670598735032,in-sample,functional
-1.61174765455117,in-sample,functional
-1.59317418761824,in-sample,functional
-1.61023367110667,in-sample,functional
-1.5984232355926,in-sample,functional
-1.5674675089793,in-sample,functional
-1.57649305306331,in-sample,functional
-1.5698540421243,in-sample,functional
-1.63110802397962,in-sample,functional
-1.58877270284308,in-sample,functional
-1.5765497300629,in-sample,functional
-1.56282419781738,in-sample,functional
-1.60383212856453,in-sample,functional
-1.59162106219758,in-sample,functional
-1.54639044258298,in-sample,functional
-1.57260366985512,in-sample,functional
-1.59468025806527,in-sample,functional
-1.62139614466789,in-sample,functional
-1.60300532204021,in-sample,functional
-1.56069786192887,in-sample,functional
-1.61094775597239,in-sample,functional
-1.57282826136009,in-sample,functional
-1.59790076899203,in-sample,functional
-1.59189904227492,in-sample,functional
-1.61458865178513,in-sample,functional
-1.56676062264054,in-sample,functional
-1.5637170686566,in-sample,functional
-1.6197626061877,in-sample,functional
-1.57678439558519,in-sample,functional
-1.60176099816328,in-sample,functional
-1.56574321564195,in-sample,functional
-1.60218307561527,in-sample,functional
-1.6332935308235,in-sample,functional
-1.61182961128027,in-sample,functional
-1.56844963344675,in-sample,functional
-1.60457416315113,in-sample,functional
-1.5869264735762,in-sample,functional
-1.59794062311063,in-sample,functional
-1.53974025615467,in-sample,functional
-1.592766451119,in-sample,functional
-1.58792391952663,in-sample,functional
-1.63262368838729,in-sample,functional
-1.59364374086526,in-sample,functional
-1.58338894333605,in-sample,functional
-1.58655127873026,in-sample,functional
-1.57894183904007,in-sample,functional
-1.54891875088142,in-sample,functional
-1.56142528275644,in-sample,functional
-1.59112419931018,in-sample,functional
-1.6135306182787,in-sample,functional
-1.59502390004343,in-sample,functional
-1.59123790732324,in-sample,functional
-1.61831519001312,in-sample,functional
-1.59332807766666,in-sample,functional
-1.57240173198876,in-sample,functional
-1.5588405905868,in-sample,functional
-1.59191011070743,in-sample,functional
-1.60949446926991,in-sample,functional
-1.56296791807335,in-sample,functional
-1.57787673769443,in-sample,functional
-1.57498295318658,in-sample,functional
-1.6256575282456,in-sample,functional
-1.55016397118282,in-sample,functional
-1.55971223331493,in-sample,functional
-1.56011332617796,in-sample,functional
-1.54037661496539,in-sample,functional
-1.52408137179497,in-sample,functional
-1.5693818926046,in-sample,functional
-1.58887924642373,in-sample,functional
-1.59891618609599,in-sample,functional
-1.59516454717899,in-sample,functional
-1.56973618666282,in-sample,functional
-1.56014800046592,in-sample,functional
-1.60564340070533,in-sample,functional
-1.57287066986675,in-sample,functional
-1.64834549570819,in-sample,functional
-1.62145643215338,in-sample,functional
-1.61029938272917,in-sample,functional
-1.55871090896305,in-sample,functional
-1.5565491960485,in-sample,functional
-1.58072758601612,in-sample,functional
-1.57755456395168,in-sample,functional
-1.60312509652517,in-sample,functional
-1.57103497930808,in-sample,functional
-1.58343498912315,in-sample,functional
-1.59616225269013,in-sample,functional
-1.59396570780169,in-sample,functional
-1.5500350494147,in-sample,functional
-1.59148098921766,in-sample,functional
-1.62803253913486,in-sample,functional
-1.54899010487498,in-sample,functional
-1.55502675528196,in-sample,functional
-1.57732434396909,in-sample,functional
-1.58951294889074,in-sample,functional
-1.57825318300078,in-sample,functional
-1.58128044913385,in-sample,functional
-1.59861654786284,in-sample,functional
-1.59191447148262,in-sample,functional
-1.53415282184744,in-sample,functional
-1.58379901788511,in-sample,functional
-1.56126011112088,in-sample,functional
-1.54794250697693,in-sample,functional
-1.57467968755613,in-sample,functional
-1.59373053962233,in-sample,functional
-1.55181557369069,in-sample,functional
-1.57802457607306,in-sample,functional
-1.55913147578448,in-sample,functional
-1.60123941804384,in-sample,functional
-1.57841473204317,in-sample,functional
-1.58440861684059,in-sample,functional
-1.60169958162232,in-sample,functional
-1.61119880985782,in-sample,functional
-1.59294962994596,in-sample,functional
-1.56616510826356,in-sample,functional
-1.54527087448022,in-sample,functional
-1.61106002221548,in-sample,functional
-1.57272691747085,in-sample,functional
-1.60568290032078,in-sample,functional
-1.57118409012205,in-sample,functional
-1.57751067750504,in-sample,functional
-1.62906918351215,in-sample,functional
-1.60691371657146,in-sample,functional
-1.55855340374501,in-sample,functional
-1.58377351777773,in-sample,functional
-1.57684559575652,in-sample,functional
-1.60251429488987,in-sample,functional
-1.56012241367393,in-sample,functional
-1.57020055098112,in-sample,functional
-1.56831918415077,in-sample,functional
-1.58724466602246,in-sample,functional
-1.57710451211837,in-sample,functional
-1.57313667656613,in-sample,functional
-1.59279944817163,in-sample,functional
-1.55523189152343,in-sample,functional
-1.58619752608705,in-sample,functional
-1.60357593360726,in-sample,functional
-1.56389012655399,in-sample,functional
-1.5860917515702,in-sample,functional
-1.57164781869985,in-sample,functional
-1.58014595894065,in-sample,functional
-1.57782104355865,in-sample,functional
-1.56190357621775,in-sample,functional
-1.56048605591016,in-sample,functional
-1.57608609906162,in-sample,functional
-1.5617020840923,in-sample,functional
-1.5500473330652,in-sample,functional
-1.60338154892099,in-sample,functional
-1.57804486882456,in-sample,functional
-1.57067491950048,in-sample,functional
-1.55232554819449,in-sample,functional
-1.57476282226937,in-sample,functional
-1.56601367469327,in-sample,functional
-1.6182639051042,in-sample,functional
-1.55122747980362,in-sample,functional
-1.56420887090287,in-sample,functional
-1.56171567710386,in-sample,functional
-1.61735780755812,in-sample,functional
-1.58407102314703,in-sample,functional
-1.55488970154591,in-sample,functional
-1.62337814900946,in-sample,functional
-1.57452355940639,in-sample,functional
-1.57793829769183,in-sample,functional
-1.58536435006503,in-sample,functional
-1.57565704881909,in-sample,functional
-1.60694102882088,in-sample,functional
-1.60349221767964,in-sample,functional
-1.60834153811916,in-sample,functional
-1.65556543834067,in-sample,functional
-1.57207876042681,in-sample,functional
-1.55780451447171,in-sample,functional
-1.56879444134271,in-sample,functional
-1.56365428474635,in-sample,functional
-1.55564128702907,in-sample,functional
-1.60263371758267,in-sample,functional
-1.555786959815,in-sample,functional
-1.52981230744701,in-sample,functional
-1.58593470521081,in-sample,functional
-1.5735780217407,in-sample,functional
-1.56534274467707,in-sample,functional
-1.5721621592431,in-sample,functional
-1.59522946159774,in-sample,functional
